"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2005",16.36396,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2011",16.02327,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",15.2651,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",14.86225,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",15.17072,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",15.94285,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",16.76099,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",16.20161,
"JPN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",15.19538,
"KOR","EDUEXPTRY","HH","PC_EDUEXP","A","2015",45.43879,
"KOR","EDUEXPTRY","HH","PC_EDUEXP","A","2016",44.26888,
"KOR","EDUEXPTRY","HH","PC_EDUEXP","A","2017",43.08146,
"KOR","EDUEXPTRY","HH","PC_EDUEXP","A","2018",41.35367,
"KOR","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",18.42756,
"KOR","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",18.15397,
"KOR","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",18.78559,
"KOR","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",18.90478,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","1995",22.61257,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2000",19.96666,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2005",30.56223,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2008",29.46822,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2009",30.9495,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2010",29.76142,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2011",32.57651,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2012",29.97505,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2013",29.35151,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2014",28.51563,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2015",28.84119,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2016",30.61077,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2017",29.92529,
"MEX","EDUEXPTRY","HH","PC_EDUEXP","A","2018",42.1759,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2000",0.6349323,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2005",0.4586831,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2008",0.39734,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2009",0.3617329,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2010",0.3544126,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2011",0.3608656,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",0.3348481,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",0.3264612,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",0.3017882,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",0.2950633,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",0.2922942,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",0.320235,
"MEX","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",0.2583534,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2012",15.16537,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2013",15.47029,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2014",15.83626,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2015",16.13021,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2016",16.4145,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2017",16.58046,
"NLD","EDUEXPTRY","HH","PC_EDUEXP","A","2018",15.77934,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",13.53499,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",13.36095,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",13.33254,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",13.1394,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",12.99766,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",13.19869,
"NLD","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",13.09509,
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",33.09443,
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",32.95682,
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2014",34.26603,
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2015",33.77224,
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2016",34.01404,
